frame,DetObj#,x,y,z,v,snr,noise
5,13,3.2926926612854004,2.682112216949463,1.7179266214370728,-0.28559958934783936,163,516
6,0,0.8100501298904419,3.2853481769561768,1.5043787956237793,0.0,100,424
6,1,0.8518053293228149,3.396338939666748,1.7036106586456299,0.0,211,441
6,2,-0.5821862816810608,4.278177738189697,-1.7465589046478271,0.14279979467391968,226,463
6,3,-0.6060463786125183,4.453513145446777,-1.8181390762329102,0.14279979467391968,143,495
6,4,0.9102625250816345,3.6917829513549805,1.6904875040054321,-1.9991971254348755,109,457
6,5,1.0403000116348267,3.1826000213623047,-2.470712423324585,-1.9991971254348755,109,457
6,6,0.8434543013572693,3.4208264350891113,1.5664150714874268,-1.2851982116699219,176,458
6,7,0.9830358624458313,3.5101401805877686,1.4745538234710693,-0.8567987680435181,221,459
6,8,0.8100501298904419,3.3817601203918457,1.2729359865188599,-0.42839938402175903,216,458
6,9,3.4072213172912598,2.5672190189361572,1.5616430044174194,-0.28559958934783936,162,524
6,10,-0.29347914457321167,4.450831413269043,-1.4673957824707031,-0.14279979467391968,141,517
7,0,0.7229608297348022,3.390986680984497,1.6869086027145386,0.0,174,435
7,1,-0.5678701996803284,4.172976493835449,-1.7036106586456299,0.14279979467391968,149,453
7,2,-0.4366397261619568,4.351818084716797,-1.6010122299194336,0.14279979467391968,217,458
7,3,0.9925798773765564,3.5442190170288086,1.4888697862625122,-2.1419968605041504,119,460
7,4,0.7933481335639954,3.3525075912475586,1.1333544254302979,-0.5711991786956787,155,462
7,5,0.8351032733917236,3.4390830993652344,1.431605577468872,-0.5711991786956787,343,502
7,6,3.0445480346679688,2.566725015640259,1.9374396800994873,-0.5711991786956787,245,518
7,7,0.801699161529541,3.3015196323394775,1.374341368675232,-0.42839938402175903,157,465
7,8,0.8852094411849976,3.645427942276001,1.517501950263977,-0.28559958934783936,53,537
7,9,-0.4402187168598175,4.387488842010498,-1.6141352653503418,-0.14279979467391968,222,472
7,10,-0.30302318930625916,4.684624671936035,-1.2120927572250366,-0.14279979467391968,62,543
8,0,0.9448596835136414,3.1337451934814453,1.8897193670272827,0.0,127,450
8,1,-0.6012743711471558,4.476870536804199,-1.653504490852356,0.14279979467391968,93,461
8,2,0.7766460180282593,3.2423062324523926,1.2204437255859375,-0.7139989733695984,215,454
8,3,0.8184012174606323,3.3703012466430664,1.4029735326766968,-0.7139989733695984,245,538
8,4,3.0183019638061523,2.54459810256958,1.920737624168396,-0.5711991786956787,257,510
8,5,0.801699161529541,3.19655442237854,1.603398323059082,-0.42839938402175903,157,454
8,6,-0.4402187168598175,4.387488842010498,-1.6141352653503418,-0.14279979467391968,270,474
9,0,0.9162275791168213,2.9667067527770996,1.9469835758209229,0.0,116,448
9,1,0.9162275791168213,3.2715868949890137,1.374341368675232,-0.8567987680435181,253,525
9,2,0.759943962097168,3.129565477371216,1.3027610778808594,-0.7139989733695984,234,455
9,3,0.826752245426178,3.4514870643615723,1.2991820573806763,-0.7139989733695984,148,573
9,4,3.1280581951141357,2.4555892944335938,1.7680327892303467,-0.7139989733695984,262,486
9,5,1.7059967517852783,1.1955668926239014,-0.2624610364437103,-0.14279979467391968,168,444
9,6,-0.5821862816810608,4.278177738189697,-1.7465589046478271,-0.14279979467391968,292,481
10,0,0.8971394896507263,3.2034287452697754,1.345709204673767,-0.9995985627174377,212,514
10,1,0.7432419061660767,3.060783863067627,1.2741289138793945,-0.8567987680435181,229,457
10,2,0.9162275791168213,3.2715868949890137,1.374341368675232,-0.8567987680435181,175,551
10,3,-4.063374042510986,2.3546502590179443,1.7191197872161865,-0.8567987680435181,141,476
10,4,0.8875954747200012,3.0667033195495605,1.5532920360565186,-0.7139989733695984,226,501
10,5,3.045741081237793,2.1759400367736816,1.986352801322937,-0.7139989733695984,253,513
10,6,0.7849970459938049,3.183739423751831,1.4578516483306885,-0.42839938402175903,262,469
10,7,2.2118306159973145,2.589231491088867,1.9660717248916626,-0.42839938402175903,59,514
10,8,0.7754529714584351,4.812808990478516,-0.9305436015129089,-0.28559958934783936,62,576
10,9,1.6105562448501587,1.2607682943344116,-0.2576889991760254,-0.14279979467391968,105,461
10,10,-0.2910931408405304,4.363970756530762,-1.6010122299194336,-0.14279979467391968,206,480
10,11,-0.6012743711471558,4.418446063995361,-1.8038231134414673,-0.14279979467391968,131,520
11,0,0.8780514001846313,2.9121670722961426,1.7561028003692627,0.0,182,435
11,1,-3.847440004348755,2.565985679626465,1.6928735971450806,-0.9995985627174377,109,457
