frame,DetObj#,x,y,z,v,snr,noise
0,0,0.7873830795288086,1.0477917194366455,1.6403814554214478,0.14279979467391968,228,620
0,1,-0.9711058139801025,1.8070945739746094,1.942211627960205,0.14279979467391968,84,594
0,2,1.814560055732727,3.925692081451416,-1.1166523694992065,0.14279979467391968,79,522
0,3,0.7038727402687073,1.7241291999816895,1.2669708728790283,0.28559958934783936,229,607
0,4,1.0021238327026367,1.4560524225234985,-2.0042476654052734,0.28559958934783936,105,583
0,5,0.7754529714584351,1.839965581893921,1.4733606576919556,0.5711991786956787,54,517
0,6,0.7754529714584351,2.130732536315918,-1.0080889463424683,0.5711991786956787,54,517
0,7,-1.2097066640853882,1.893376111984253,1.954141616821289,0.5711991786956787,80,502
0,8,1.1333544254302979,2.689180374145508,2.1533734798431396,-0.14279979467391968,48,475
1,0,-0.4724298417568207,1.9727834463119507,-3.188901424407959,0.14279979467391968,62,520
1,1,-0.6728546023368835,0.6890146732330322,-1.513922929763794,0.28559958934783936,382,455
1,2,0.7873830795288086,1.2293014526367188,1.5091509819030762,0.28559958934783936,228,619
1,3,0.715802788734436,1.6984297037124634,1.3600252866744995,0.28559958934783936,158,610
1,4,0.9579827189445496,1.148787498474121,-2.351412057876587,0.28559958934783936,105,571
1,5,1.0021238327026367,1.4560524225234985,-2.0042476654052734,0.42839938402175903,129,529
1,6,1.380306363105774,1.420556902885437,2.760612726211548,0.42839938402175903,134,492
1,7,0.7993131279945374,1.9579092264175415,1.4387636184692383,0.5711991786956787,134,500
1,8,0.7993131279945374,2.1566646099090576,-1.1190383434295654,0.5711991786956787,134,500
1,9,-1.7179267406463623,2.1456897258758545,0.0,0.7139989733695984,135,465
2,0,0.6334854364395142,1.8000437021255493,1.19658362865448,0.0,176,506
2,1,0.801699161529541,1.399788498878479,1.4029735326766968,0.28559958934783936,147,653
2,2,0.7277328372001648,1.8338290452957153,1.2371459007263184,0.28559958934783936,146,643
2,3,1.0307559967041016,1.3716542720794678,-2.1474084854125977,0.28559958934783936,104,587
3,0,-0.656152606010437,1.1345939636230469,-1.6403814554214478,0.28559958934783936,176,622
3,1,0.6656965613365173,1.9819653034210205,1.1094943284988403,0.28559958934783936,192,620
3,2,0.9711058139801025,1.4719609022140503,-2.2070586681365967,0.28559958934783936,129,570
3,3,-0.9711058139801025,2.1875503063201904,1.5007998943328857,0.28559958934783936,129,570
3,4,0.8219802379608154,0.958919107913971,1.5807311534881592,0.42839938402175903,210,568
3,5,0.7038727402687073,1.6701226234436035,1.3373582363128662,0.42839938402175903,197,622
3,6,1.5031858682632446,1.5297926664352417,2.684260606765747,0.7139989733695984,139,478
4,0,0.7742600440979004,1.7903844118118286,1.1261963844299316,0.0,158,520
4,1,0.5261150598526001,2.1337828636169434,0.9770708680152893,0.28559958934783936,165,597
4,2,-0.668082594871521,1.0520976781845093,-1.7370147705078125,0.42839938402175903,192,624
4,3,0.7945411205291748,1.291459560394287,-2.3836233615875244,0.42839938402175903,107,547
4,4,-1.1476705074310303,2.4257571697235107,0.8828234672546387,0.42839938402175903,107,547
4,5,0.8005061149597168,1.6321346759796143,1.4554656744003296,0.5711991786956787,193,621
4,6,0.8708933591842651,1.3714842796325684,-2.2643227577209473,0.5711991786956787,115,548
4,7,-0.997351884841919,2.110840320587158,1.72269868850708,0.5711991786956787,167,520
4,8,1.7059966325759888,2.585876941680908,3.877264976501465,0.5711991786956787,45,498
4,9,-1.5747661590576172,2.095583438873291,3.2807629108428955,0.7139989733695984,103,473
4,10,0.8529983758926392,1.0959910154342651,1.5747661590576172,0.8567987680435181,267,486
4,11,1.380306363105774,1.420556902885437,2.760612726211548,0.8567987680435181,172,484
4,12,0.9019115567207336,1.4956510066986084,1.653504490852356,0.9995985627174377,100,471
5,0,0.6012743711471558,2.1770262718200684,0.826752245426178,0.0,127,531
5,1,2.0829861164093018,2.346036434173584,1.9672646522521973,0.14279979467391968,47,512
5,2,1.3254282474517822,2.7023868560791016,-2.409869432449341,0.14279979467391968,47,500
5,3,0.6012743711471558,2.077444314956665,1.0522301197052002,0.28559958934783936,150,592
5,4,0.7038727402687073,1.6701226234436035,1.3373582363128662,0.42839938402175903,214,627
5,5,0.76590895652771,2.5910425186157227,3.06363582611084,0.42839938402175903,56,533
5,6,0.8875954151153564,1.4719105958938599,1.62725830078125,0.5711991786956787,262,556
